IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9448762,COSCO PHILIPPINES,CONTAINER SHIP,HONG KONG,1145,SAPT-2,NHAVA SHEVA,KARACHI,KPT,3/9/2024
9222285,MSC SUAPE VII,CONTAINER SHIP,LIBERIA,1200,SAPT-1,MUNDRA,KARACHI,KPT,3/9/2024
9196993,ITAL UNIVERSO,CONTAINER SHIP,ITALY,1305,WW-28+29,JEBEL ALI,KARACHI,KPT,3/9/2024
9241308,EVER ENVOY,CONTAINER SHIP,UNITED KINGDOM,1315,SAPT-3,NHAVA SHEVA,KARACHI,KPT,3/9/2024
8671104,XIN LIAN CHANG,GENERAL CARGO,PANAMA,1340,WW-29+30,JEBEL ALI,KARACHI,KPT,3/9/2024
8356778,JI HANG 27,GENERAL CARGO,PANAMA,1405,EW-9+8,JEBEL ALI,KARACHI,KPT,3/9/2024
9450363,NORTHERN JAMBOREE,CONTAINER SHIP,PORTUGAL,1155,QICT-9,PORT QASIM,NHAVA SHEVA,PQA,3/9/2024
9431381,AFRA ROSSI,CRUDE OIL TANKER,MALTA,1300,FOTCO,SUNGAI UDANG,PORT QASIM,PQA,3/9/2024
9663116,CLIPPER KYTHIRA,BULK CARRIER,MARSHALL ISLANDS,1430,PIBT,MTWARA,PORT QASIM,PQA,3/9/2024
9525455,MAERSK CABO VERDE,CONTAINER SHIP,HONG KONG,1630,QICT-7,NHAVA SHEVA,PORT QASIM,PQA,3/9/2024
9294551,HYDRA,CRUDE OIL TANKER,MALTA,1248,SPM,FUJAIRAH,KARACHI,SPM,3/9/2024
9395941,NAVIOS BAHAMAS,CONTAINER SHIP,LIBERIA,1250,WW-28+29,JEBEL ALI,KARACHI,KPT,5/9/2024
9227055,QUETTA,CRUDE OIL TANKER,PAKISTAN,1415,OP-1,RAS TANURA,KARACHI,KPT,5/9/2024
9302499,MARAN GAS ASCLEPIUS,LNG TANKER,GREECE,954,EETL,RAS LAFFAN,PORT QASIM,PQA,5/9/2024
9441398,PETREL BULKER,BULK CARRIER,MARSHALL ISLANDS,1200,PQEPT,RICHARDS BAY,PORT QASIM,PQA,5/9/2024
9663116,CLIPPER KYTHIRA,BULK CARRIER,MARSHALL ISLANDS,1550,PIBT,MTWARA,PORT QASIM,PQA,5/9/2024
9465722,PH MINH GIANG,BULK CARRIER,PANAMA,1730,MW-1,MANGALORE,PORT QASIM,PQA,5/9/2024
9828857,DIAMOND GLOBE,BULK CARRIER,MARSHALL ISLANDS,1850,FAP,PORT LINCOIN,PORT QASIM,PQA,5/9/2024
9842346,ZHONG GU BO HAI,CONTAINER SHIP,CHINA,1855,QICT-9,SOHAR,PORT QASIM,PQA,5/9/2024
9342700,WAN HAI 316,CONTAINER SHIP,SINGAPORE,1910,QICT-8,JEBEL ALI,PORT QASIM,PQA,5/9/2024
9792450,BULK JAMAICA,BULK CARRIER,LIBERIA,1848,BERTH-1,KARACHI,GWADAR,GPA,5/9/2024
9299630,CMA CGM NABUCCO ,CONTAINER SHIP,CYPRUS,155,SAPT-1,KARACHI,PORT QASIM,KPT,6/9/2024
9791157,HODAKA GALAXY ,OIL/CHEMICAL TANKER,SINGAPORE,1545,EW-1,HAZIRA,KARACHI,KPT,6/9/2024
9608386,DA TAI,GENERAL CARGO,SINGAPORE,1645,WW-25,SHARJAH,KARACHI,KPT,6/9/2024
9295244,COLOMBO EXPRESS,CONTAINER SHIP,LIBERIA,912,QICT-9,PORT QASIM,NHAVA SHEVA,PQA,6/9/2024
9590929,ANASSA,BULK CARRIER,LIBERIA,1415,PBIT,RICHARDS BAY,PORT QASIM,PQA,6/9/2024
9842346,ZHONG GU BO HAI,CONTAINER SHIP,CHINA,210,WW-28+29,PORT QASIM,KARACHI,KPT,7/9/2024
9918755,SSI RESOLUTE,BULK CARRIER,MARSHALL ISLANDS,240,EW-14+15,JINGTANG,KARACHI,KPT,7/9/2024
9796274,JARU BHUM,CONTAINER SHIP,THAILAND,255,EW-8+9,KARACHI,SOHAR,KPT,7/9/2024
9449871,DEVBULK SALIHA,GENERAL CARGO,MARSHALL ISLANDS,350,EW-4,YANGON,KARACHI,KPT,7/9/2024
9912854,AXIOS I,CRUDE OIL TANKER,LIBERIA,440,OP-3,RAS TANURA,KARACHI,KPT,7/9/2024
9756731,MSC CARLOTTA,CONTAINER SHIP,LIBERIA,1335,SAPT-3+2,MUNDRA,KARACHI,KPT,7/9/2024
9757967,CHEMROAD SAKURA,OIL/CHEMICAL TANKER,PANAMA,1200,LCT,MUNDRA,PORT QASIM,PQA,7/9/2024
9635822,HAFNIA LEOPARD,OIL/CHEMICAL TANKER,SINGAPORE,1600,FOTCO,FUJAIRAH,PORT QASIM,PQA,7/9/2024
9299630,CMA CGM NABUCCO,CONTAINER SHIP,CYPRUS,1850,QICT-9,KARACHI,PORT QASIM,PQA,7/9/2024
9270464,XIN NING BO,CONTAINER SHIP,CHINA,255,WW-26+27,JEBEL ALI,KARACHI,KPT,8/9/2024
9360453,MARDAN,CRUDE OIL TANKER,PAKISTAN,428,OP-2,RAS TANURA,KARACHI,KPT,8/9/2024
9360465,SARGODHA ,CRUDE OIL TANKER,PAKISTAN,445,OP-1,KARACHI,DAS ISLAND,KPT,8/9/2024
